Surface,BotTrike,SeatBot,SeatHead,RearWheel,FrontWheel
static,"[714249, 723092]",,,,
static,,"[745891, 754717]",,,
static,,,"[748849, 757691]",,
static,,,,"[732073, 740898]",
static,,,,,"[718058, 726886]"
Aula,"[1683423, 1705551]",,,,
Aula,"[1711071, 1732561]",,,,
Aula,"[1740883, 1760563]",,,,
Aula,,"[1714744, 1736871]",,,
Aula,,"[1742390, 1763882]",,,
Aula,,"[1772188, 1791703]",,,
Aula,,,"[1717863, 1740006]",,
Aula,,,"[1745494, 1767000]",,
Aula,,,"[1775322, 1795017]",,
Aula,,,,"[1701406, 1723160]",
Aula,,,,"[1728680, 1750152]",
Aula,,,,"[1758475, 1778168]",
Aula,,,,,"[1686710, 1708822]"
Aula,,,,,"[1714342, 1735847]"
Aula,,,,,"[1744154, 1763850]"
klinkers,"[1945921, 2005072]",,,,
klinkers,,"[1977301, 2036465]",,,
klinkers,,,"[1980544, 2039691]",,
klinkers,,,,"[1963873, 2023023]",
klinkers,,,,,"[1949739, 2008487]"
stoeptegels,"[2057993, 2121027]",,,,
stoeptegels,,"[2089370, 2152000]",,,
stoeptegels,,,"[2092595, 2155656]",,
stoeptegels,,,,"[2075946, 2138992]",
stoeptegels,,,,,"[2061395, 2124429]"
pave,"[813596, 876774]",,,,
pave,"[882161, 892825]",,,,
pave,,"[844930, 908195]",,,
pave,,"[913582, 924246]",,,
pave,,,"[847846, 911455]",,
pave,,,"[916639, 927303]",,
pave,,,,"[831426, 894446]",
pave,,,,"[899816, 910482]",
pave,,,,,"[816927, 880536]"
pave,,,,,"[885923, 896586]"
tarmac,"[921500, 951887]",,,,
tarmac,"[960493, 988846]",,,,
tarmac,,"[952920, 983111]",,,
tarmac,,"[991717, 1020054]",,,
tarmac,,,"[955980, 986383]",,
tarmac,,,"[994988, 1022823]",,
tarmac,,,,"[939170, 969554]",
tarmac,,,,"[978160, 1006495]",
tarmac,,,,,"[925263, 955650]"
tarmac,,,,,"[963961, 992311]"
