Surface,BotTrike,SeatBot,SeatHead,RearWheel,FrontWheel
static,"[101285, 110996]",,,,
static,,"[84694, 94404]",,,
static,,,"[97030, 106742]",,
static,,,,"[122823, 132550]",
static,,,,,"[105379, 115106]"
klinkers,"[167800, 201628]",,,,
klinkers,"[207608, 219504]",,,,
klinkers,,"[151689, 184962]",,,
klinkers,,"[190959, 203128]",,,
klinkers,,,"[163483, 197311]",,
klinkers,,,"[203307, 215459]",,
klinkers,,,,"[189242, 223050]",
klinkers,,,,"[229045, 241230]",
klinkers,,,,,"[172376, 206220]"
klinkers,,,,,"[212185, 224369]"
stoeptegels,"[297502, 345898]",,,,
stoeptegels,,"[281359, 329314]",,,
stoeptegels,,,"[293703, 342112]",,
stoeptegels,,,,"[319458, 367427]",
stoeptegels,,,,,"[302066, 349891]"
pave,"[459321, 463329]",,,,
pave,"[467358, 471917]",,,,
pave,"[475650, 492196]",,,,
pave,"[493758, 501858]",,,,
pave,"[505404, 527883]",,,,
pave,,"[443111, 447119]",,,
pave,,"[451148, 455706]",,,
pave,,"[459454, 476002]",,,
pave,,"[477557, 485650]",,,
pave,,"[489195, 511608]",,,
pave,,,"[455253, 459245]",,
pave,,,"[463273, 467833]",,
pave,,,"[471579, 488127]",,
pave,,,"[489689, 497772]",,
pave,,,"[501319, 523811]",,
pave,,,,"[481224, 485233]",
pave,,,,"[489261, 493820]",
pave,,,,"[497551, 514115]",
pave,,,,"[515677, 523551]",
pave,,,,"[526943, 549407]",
pave,,,,,"[463704, 467713]"
pave,,,,,"[471741, 476285]"
pave,,,,,"[480032, 496578]"
pave,,,,,"[498141, 506241]"
pave,,,,,"[509788, 532248]"
tarmac,"[562599, 589768]",,,,
tarmac,"[598999, 631264]",,,,
tarmac,,"[546209, 573392]",,,
tarmac,,"[582592, 614874]",,,
tarmac,,,"[558393, 585559]",,
tarmac,,,"[594790, 626707]",,
tarmac,,,,"[584414, 611597]",
tarmac,,,,"[620828, 653078]",
tarmac,,,,,"[567265, 594050]"
tarmac,,,,,"[603281, 635529]"
