Surface,BotTrike,SeatBot,SeatHead,RearWheel,FrontWheel
static,"[30655, 34191]",,,,
static,,"[40639, 44175]",,,
static,,,"[24606, 28142]",,
static,,,,"[40660, 44196]",
static,,,,,"[33252, 36788]"
klinkers,"[51998, 102847]",,,,
klinkers,,"[61969, 112835]",,,
klinkers,,,"[45933, 96584]",,
klinkers,,,,"[61987, 113064]",
klinkers,,,,,"[54579, 105478]"
stoeptegels,"[166897, 213792]",,,,
stoeptegels,"[219346, 229807]",,,,
stoeptegels,,"[177392, 224232]",,,
stoeptegels,,"[229787, 240240]",,,
stoeptegels,,,"[161115, 208040]",,
stoeptegels,,,"[213582, 224028]",,
stoeptegels,,,,"[177388, 224296]",
stoeptegels,,,,"[229850, 240296]",
stoeptegels,,,,,"[169916, 216826]"
stoeptegels,,,,,"[222382, 232787]"
pave,"[437528, 450620]",,,,
pave,"[455375, 480591]",,,,
pave,"[483875, 493563]",,,,
pave,,"[447937, 460991]",,,
pave,,"[465747, 490889]",,,
pave,,"[494189, 503877]",,,
pave,,,"[431898, 445002]",,
pave,,,"[449758, 474975]",,
pave,,,"[478256, 487944]",,
pave,,,,"[447997, 461087]",
pave,,,,"[465844, 491041]",
pave,,,,"[494340, 504028]",
pave,,,,,"[440670, 453759]"
pave,,,,,"[458516, 483386]"
pave,,,,,"[486684, 496373]"
tarmac,"[547545, 569972]",,,,
tarmac,"[577396, 587002]",,,,
tarmac,,"[557846, 580291]",,,
tarmac,,"[587700, 597305]",,,
tarmac,,,"[541564, 564008]",,
tarmac,,,"[571414, 581034]",,
tarmac,,,,"[557998, 580442]",
tarmac,,,,"[587850, 597105]",
tarmac,,,,,"[550336, 572781]"
tarmac,,,,,"[580206, 589797]"
