segment_number,surface,speed,seat,start_time,end_time
0,static,0,seat,1732891921562.41,1732891925685.58
1,synchro,0,seat,1732891007318.63,1732891015707.79
2,Aula,5,seat,1732891415220.12,1732891440510.65
3,Aula,5,seat,1732891445934.60,1732891471678.86
4,Aula,5,seat,1732891480388.82,1732891502828.40
5,klinkers,5,seat,1732891713416.53,1732891781339.51
6,stoeptegels,5,seat,1732891839697.78,1732891913736.85
7,pave,5,seat,1732890428247.96,1732890518414.95
8,tarmac,5,seat,1732890550255.52,1732890585578.77
9,tarmac,5,seat,1732890593751.50,1732890627701.45
