segment_number,surface,speed,seat,start_time,end_time
0,static,0,seat,1735642188027.59,1735642202225.22
1,synchro,0,seat,1735642103577.88,1735642108186.65
2,shock,5,seat,1735642108963.38,1735642115746.34
3,shock,5,seat,1735642128570.68,1735642134554.93
4,shock,5,seat,1735642148151.61,1735642154349.00
5,shock,5,seat,1735642169390.38,1735642176832.52
6,Aula,5,seat,1735642578927.73,1735642602554.93
7,Aula,5,seat,1735642607446.05,1735642631380.86
8,Aula,5,seat,1735642635582.03,1735642659460.82
9,klinkers,5,seat,1735642851011.84,1735642916744.14
10,stoeptegels,5,seat,1735642944041.87,1735642998634.03
11,pave,5,seat,1735643129886.60,1735643189768.68
12,tarmac,5,seat,1735643248007.20,1735643293274.17
