segment_number,surface,speed,seat,start_time,end_time
0,static,0,Melia,1734348060825.87,1734348079042.30
1,synchro,0,Melia,1734348134534.24,1734348142526.79
2,tarmac,12,Melia,1734348160846.50,1734348211618.71
3,tarmac,20,Melia,1734348295394.96,1734348340635.56
4,shock,5,Melia,1734348476124.45,1734348491552.55
5,shock,5,Melia,1734348512414.49,1734348527251.53
6,shock,12,Melia,1734348568540.34,1734348580813.17
7,shock,12,Melia,1734348619356.51,1734348636193.05
8,shock,20,Melia,1734348682315.86,1734348693828.43
9,shock,20,Melia,1734348853496.03,1734348863387.02
10,klinkers,12,Melia,1734349236859.56,1734349289432.43
11,klinkers,20,Melia,1734349603390.93,1734349649393.98
