segment_number,surface,speed,seat,start_time,end_time
0,static,0,seat,1735555404278.47,1735555410876.86
1,synchro,0,seat,1735555414263.95,1735555419847.20
2,Aula,5,seat,1735555421244.66,1735555444428.01
3,Aula,5,seat,1735555447931.55,1735555471928.99
4,Aula,5,seat,1735555476503.69,1735555499281.65
5,klinkers,5,seat,1735555702458.40,1735555770081.45
6,stoeptegels,5,seat,1735555802877.84,1735555859846.34
7,pave,5,seat,1735555954262.85,1735556018912.99
8,tarmac,5,seat,1735556065435.70,1735556105017.24
9,tarmac,5,seat,1735556109166.78,1735556147828.77
